0.000000,83840.000000
101.000000,84478.500000
202.000000,84715.500000
303.000000,86022.000000
404.000000,86313.000000
505.000000,86645.500000
606.000000,87398.000000
707.000000,87650.500000
808.000000,88712.500000
909.000000,89121.500000
1010.000000,90037.500000
1111.000000,90344.000000
1212.000000,90871.000000
1313.000000,91040.000000
1414.000000,92138.500000
1515.000000,94975.500000
1616.000000,96670.000000
1717.000000,97062.500000
4218.000000,97174.000000
1818.000000,98112.000000
1919.000000,99550.000000
2020.000000,100000.500000
2121.000000,100781.000000
2222.000000,101079.000000
2323.000000,104136.500000
2424.000000,105142.000000
2525.000000,106374.000000
2626.000000,107921.500000
2727.000000,108025.000000
2828.000000,109624.500000
2929.000000,110648.000000
3030.000000,110800.500000
3131.000000,111489.000000
3232.000000,114125.000000
3333.000000,115088.000000
3434.000000,115726.500000
3535.000000,115948.000000
3636.000000,118006.000000
3737.000000,118283.500000
3838.000000,118659.500000
3939.000000,119187.000000
4040.000000,119483.500000
4141.000000,119749.000000
4242.000000,120218.500000
4343.000000,120346.000000
4444.000000,120691.500000
4545.000000,121422.000000
4646.000000,122173.500000
4747.000000,122412.500000
4848.000000,122613.000000
4949.000000,122905.000000
5050.000000,123261.000000
